Headlines,Time,Description
Lazard axes 200 jobs after business review,Oct 31 2019,"Investment bank Lazard  has axed about 200 employees after a review of its business, Chief Financial Officer Evan Russo said on Thursday."
Fares show declines as airlines brace for tough recovery: Skytra,Apr 17 2020,"Air fares have fallen as much as 30% since the start of the year in North America and Europe, according to the first of a new series of industry data, while stabilising on a smaller decline in Asia where some coronavirus lockdowns are being eased."
China's Tencent Music reports passive stake in Warner Music,Jun 12 2020,"China's Tencent Music Entertainment Group on Friday reported a 5.2% passive stake in Class A shares of Warner Music Group Corp, about a week after the world's third-largest recording label's debut on the Nasdaq."
"Fish, financial services to be part of final EU-Britain trade deal: EU Commission head",Feb 03 2020,"An agreement on fisheries, financial services, trade in goods and energy all have to be agreed before the European Union can sign a deal regulating its post-Brexit future relationship with Britain, the head of the European Commission said on Monday."
Flybe in talks with Virgin Atlantic for possible sale,Nov 23 2018,"Flybe Group Plc  is in talks for a possible sale to Virgin Atlantic Airways Ltd, the British regional airline said on Friday, as it grapples with falling demand, higher fuel costs and a weak British pound."
"Surprise U.S. unemployment rate drop leaves out blacks, Asians",Jun 05 2020,"The U.S. unemployment rate dropped unexpectedly in May, but not all workers benefited equally as joblessness among African Americans and Asians rose, signaling some minorities face a longer recovery as the economy slowly rebounds from the coronavirus shutdowns."
Qualcomm to appeal record South Korean anti-trust fine,Dec 04 2019,Qualcomm  said it would appeal a South Korean court decision on Wednesday to uphold a record $873 million fine against the U.S. chip giant for unfair business practices related to patent licensing and modem chip sales.
S&P 500 bull market now arguably the oldest ever,Aug 22 2018,"The S&P 500's  bull market turned 3,453 days old on Wednesday, making it the longest such streak in history, according to some investors' definition."
U.S. government advises workers on staving off creditors amid shutdown,Dec 27 2018,"As a partial shutdown of the U.S. government stretched into its sixth day, the agency that oversees the federal workforce offered advice on staving off creditors to the estimated 800,000 employees who could be affected by a lapse in pay."
"Former Pemex boss arrives back in Mexico for graft trial, enters hospital",Jul 17 2020,A former boss of Mexico's state oil company Petroleos Mexicanos facing corruption charges that could envelop leaders of the last government was taken to a hospital early on Friday shortly after his overnight extradition to Mexico from Spain.
"EU throws new rule book at Google, tech giants in competition search",Jul 01 2020,"Exasperated by its failure to loosen Google's market grip, despite more than $8 billion in fines, the European Union is lining up new rules to level the playing field for rivals."
Brazil's Bolsonaro uses Davos speech to appeal to big business,Jan 22 2019,"Brazil's new right-wing President Jair Bolsonaro threw out the welcome mat for big business and foreign investors on Tuesday, telling a summit of CEOs in Davos that his government would make the country one of the top 50 in which to do business."
Airbnb says profitable for two straight years amid IPO talks,Jan 15 2019,"Home-renting company Airbnb Inc said on Tuesday it was profitable on an adjusted basis for the second year in a row,  ahead of a widely anticipated initial public offering this year."
China's BYD recalls cars with Takata airbag inflators: state media,Jun 17 2018,"Chinese electric vehicle maker BYD Co Ltd  has announced a recall of over 10,000 cars equipped with accident-prone Takata airbag inflators, state news agency Xinhua reported on Sunday."
Vegan burger maker Beyond Meat raises price range in upsized IPO,May 01 2019,"(This April 30 story corrects first paragraph to say company will debut on Thursday, not Wednesday.)"
Asian business confidence wallows near three-year low on trade worries: Thomson Reuters/INSEAD,Dec 19 2018,"A very cautious optimism remains among Asian companies in the fourth quarter as they wait to see whether there will be any breakthrough in a trade dispute between the United States and China, a Thomson Reuters/INSEAD survey showed."
"Tesla upgrades Model S, X cars, brings backs cheaper variants",Apr 23 2019,"Tesla Inc, struggling with delay in delivery of its higher-priced Model S and X luxury cars, said on Tuesday it will bring back lower-priced options for those cars and roll out upgrades to improve their driving range and re-charging speed."
Ex-Nissan boss Ghosn to ask for monitored visit with spouse: lawyer,May 23 2019,"Lawyers for Carlos Ghosn will ask a Japanese court to allow the former Nissan Motor boss one monitored visit with his wife after the Supreme Court upheld curbs on contact with his spouse while he is on bail, his legal team said on Thursday."
U.S. second-quarter productivity growth unrevised at 2.9 percent,Sep 06 2018,"U.S. worker productivity rose at its fastest pace in more than three years in the second quarter, as previously reported, but the trend in productivity growth remained moderate."
Pompeo tells Germany: Use Huawei and lose access to our data,May 31 2019,"The United States raised the pressure on Western allies in a war of attrition over next-generation networks on Friday, saying countries that allow China's Huawei to build their telecoms infrastructure could be cut off from crucial intelligence data."
"Countering global protectionism, Pacific trade pact nears takeoff",Oct 31 2018,"A landmark 11-country deal that will slash tariffs across much of the Asia-Pacific region will come into force at the end of December, New Zealand said on Wednesday, a rare bright spot for global commerce as the U.S.-China trade war intensifies."
Coronavirus deaths in Italy overtake China as economic damage mounts,Mar 22 2020,"The world's richest nations poured unprecedented aid into the  global economy on Thursday as coronavirus cases ballooned in the new epicentre Europe, with the number of deaths in Italy outstripping those in mainland China, where the virus originated."
Factbox: Airlines suspend flights due to coronavirus outbreak,Feb 28 2020,Airlines have been suspending flights or modifying service in response to the coronavirus outbreak.
Nissan to begin restart of U.S. auto plants on June 1,May 27 2020,Japanese automaker Nissan Motor Co  said Wednesday it plans to begin restarting its shuttered U.S. manufacturing operations beginning June 1.
FAA to open proceeding on fatal Boeing crashes,Mar 13 2019,"The Federal Aviation Administration said Wednesday it plans to open a proceeding into two fatal Boeing Co 737 MAX 8 plane crashes after it said data showed ""some similarities"" in the Lion Air and Ethiopian Airlines crashes."
U.S. claims Regeneron paid kickbacks via charity to boost expensive drug,Jun 24 2020,"The U.S. Justice Department on Wednesday sued Regeneron Pharmaceuticals Inc, accusing it of using a charity that helps cover Medicare patients' drug costs as a means to pay kickbacks for using its expensive macular degeneration drug Eylea."
China says putting pressure on Beijing won't work amid trade war with U.S.,Aug 31 2018,"China's foreign ministry on Friday said that putting pressure on Beijing over trade won't work, after a report that U.S. President Donald Trump is prepared to quickly ramp up a trade war between the two countries."
"FCA to face checks, sanctions on state-backed loan",Jun 04 2020,"Fiat Chrysler  will file regular reports on its use of a multi-billion euro state-backed loan which Italy is set to approve soon and will face sanctions if it does not respect commitments attached to the package, the economy minister said."
Exclusive: Newly obtained documents show Huawei role in shipping prohibited U.S. gear to Iran,Mar 02 2020,"China’s Huawei Technologies, which for years has denied violating American trade sanctions on Iran, produced internal company records in 2010 that show it was directly involved in sending prohibited U.S. computer equipment to Iran’s largest mobile-phone operator."
New CEO declares Volkswagen on right path despite profit hit,Apr 26 2018,"Volkswagen's  first-quarter operating profit fell on Thursday, but optimism over its new chief executive, the carmaker's financial health and lower provisions for the diesel emissions scandal lifted its shares."
Airbnb holds meeting with bankers to extend $1 billion debt facility: source,Mar 25 2020,"Airbnb Inc on Wednesday held a phone meeting with bankers to discuss extending an existing $1 billion debt facility as the home rental start-up grapples with a slowdown due to the coronavirus, a source who participated in the meeting said."
Papa John's founder says successor not right fit for CEO,Jul 26 2018,"John Schnatter, the founder and largest shareholder of Papa John's International Inc , said on Thursday that Steve Ritchie, who rose from a $6-per-hour employee to CEO with Schnatter's backing, should not be leading the company."
Honeywell eyes supplier shift to avoid tariff hit,Jul 23 2018,"(This version of the July 20 story corrects paragraph 1 to say company will increase the use of supply chain sources from non-China countries, not start sourcing from countries other than China)"
Global share listings dragged to three-year low by European shortage,Jul 01 2019,"Global share listings hit their lowest level in three years in the first half of the year, with a slowdown in Europe counteracting a stronger U.S. showing where tech giants Uber and Pinterest made their debuts."
EA sees full-year revenue above estimates as home-sheltering boosts gaming,May 05 2020,"Video game publisher Electronic Arts Inc forecast full-year adjusted revenue above Wall Street estimates on Tuesday, riding on the broader surge in videogame sales as people shelter at home due to the COVID-19 pandemic."
Canada foreign minister briefing PM for second time in a day on NAFTA,Sep 12 2018,"Canadian Foreign Minister Chrystia Freeland was briefing Prime Minister Justin Trudeau for the second time in a few hours on talks to update NAFTA and will speak to reporters later on Wednesday, a government official said."
U.S. warns European allies not to use Chinese gear for 5G networks,Feb 06 2019,"The United States sees the European Union as its top priority in a global effort to convince allies not to buy Huawei equipment for next-generation mobile networks, a U.S. State Department Official said on Tuesday."
United Airlines profit rises with higher fares,Apr 17 2018,"United Airlines  said on Tuesday quarterly profit rose, as higher fares helped offset the costs of fuel and a rash of winter storms."
New U.S. FAA rules on airplane seat size may not create more leg room,Oct 01 2018,"A bill that will regulate minimum seat size on U.S. passenger airplanes for the first time is unlikely to lead to more leg or elbow room for cramped flyers, airline consultants said."
Microsoft debuts free tier in competitive workplace chat app market,Jul 12 2018,Microsoft Corp on Thursday introduced a free tier of its workplace collaboration software Teams to better compete against rival Slack Technologies Inc in a market analysts view as a main battleground in the world of enterprise software.
Dutch superyacht builders propelled by rising economic tide,Aug 14 2018,"With three lounges, three dining rooms, an open-air jacuzzi, a bar and six luxury cabins, the 50-metre ""Aster"" is one of Dutch shipyard Heesen's more modest superyachts."
Highlights: Key quotes from the Reuters interview with Trump,Dec 12 2018,Here are highlights from the Reuters interview with U.S. President Donald Trump on Tuesday.
Exclusive: Canada housing agency pushes for better income checks to catch fraud,Jul 18 2018,"Canada's housing agency has asked the country's tax authority to take a ""more direct and formal role"" verifying income claimed on mortgage applications, part of a two-year plan to tackle mortgage fraud, documents obtained by Reuters show."
Boeing says 737 MAX software upgrade will be deployed in coming weeks,Mar 15 2019,"Boeing Co said on Friday its software upgrade for the grounded 737 MAX jetliner will be rolled out in the coming weeks, and that its timeline for deploying the upgrade has not changed."
"Judge lets Facebook privacy class action proceed, calls company's views 'so wrong'",Sep 09 2019,"A federal judge on Monday ordered Facebook Inc  to face most of a nationwide lawsuit seeking damages for letting third parties such as Cambridge Analytica access users' private data, calling the social media company's views on privacy ""so wrong."""
Starbucks' China challenger Luckin raises $561 million in U.S. IPO,May 17 2019,"Luckin Coffee Inc, the Chinese challenger to Starbucks Corp, on Thursday priced its U.S. initial public offering at the top end of its targeted range and sold more shares than planned in the biggest U.S. float by a Chinese firm this year."
Exclusive: U.S. government seeks Facebook help to wiretap Messenger - sources,Aug 17 2018,"The U.S. government is trying to force Facebook Inc  to break the encryption in its popular Messenger app so law enforcement may listen to a suspect's voice conversations in a criminal probe, three people briefed on the case said, resurrecting the issue of whether companies can be compelled to alter their products to enable surveillance."
"Versace takeover will bring jobs to Italy, its designer says",Sep 26 2018,"Fashion house Versace did not receive any offers from Italian investors before selling to Michael Kors  but the deal with the U.S. fashion group will create jobs in Italy, creative director Donatella Versace told newspapers on Wednesday."
French demands challenge FCA-Renault deal push,Jun 03 2019,"Talks on Fiat Chrysler's proposed merger with Renault became mired in politics on Monday, as France sought more concessions to maintain government influence over the new carmaker's management and French assets, sources told Reuters."
Employees worried about Valero response to virus cases at Texas refinery: sources,Apr 07 2020,"Employees at Valero Energy Corp's Port Arthur, Texas, refinery expressed worries about the company's slow response to keep the coronavirus from spreading there after two workers tested positive, four people familiar with the matter said."
Tesla's German factory gets off to an explosive start,Jan 23 2020,"Seven U.S. bombs from World War Two have been found in the plot of land outside Berlin where electric car pioneer Tesla  wants to build its first European factory, local authorities said on Thursday."
Lufthansa soars after top shareholder backs bailout,Jun 25 2020,Lufthansa  shares jumped as much as 20% on Thursday after its top shareholder dropped his objections to a 9 billion euro ($10 billion) government bailout for the German airline brought to the brink of collapse by the COVID-19 pandemic.
China says has begun implementing some retaliatory tariffs on U.S. goods,Jul 06 2018,"China's Foreign Ministry said on Friday that Beijing has already begun implementing tariffs on some U.S. goods in retaliation for U.S. duties on $34 billion in Chinese imports, which took effect the same day."
"Data's the secret weapon for Rappi, SoftBank's big bet in Latin America",Jan 06 2020,"""We're going to help you understand your missed opportunities,"" the boss of delivery app Rappi tells restaurants and food brands. ""Why Wednesday is maybe not the best day for you, or why lunch is better than dinner."""
Wall St. ekes out gains as trade optimism pressured by defensive stocks,May 14 2018,Wall Street ended a choppy session slightly higher on Monday as weakness in defensive stocks offset optimism following U.S. President Donald Trump's conciliatory remarks toward China's ZTE Corp that calmed the waters of U.S.-China trade tensions.
"Avianca to pack more seats into planes as part of recovery plan, executive says",Aug 29 2019,"Latin American airline Avianca  will look to increase the number of passengers it can fit into a plane without enlarging its fleet as part of its efforts to overcome ongoing financial problems, its chief executive said on Thursday."
"Airbus says to shed 15,000 jobs",Jun 30 2020,"Airbus on Tuesday unveiled plans to shed around 15,000 jobs including 900 already earmarked in Germany, saying its future was at stake after the coronavirus pandemic rocked the air travel industry."
New Fiat Chrysler boss transformed Jeep brand as company focuses on SUVs,Jul 21 2018,"Fiat Chrysler Automobiles NV's  new chief executive Mike Manley, who has overseen the effort to turn Jeep into a global brand, now plans to carry out the parent company's strategy unveiled last month, the company said Saturday."
Audi steps up production ahead of new pollution rules,Aug 03 2018,"Audi has stepped up production ahead of a September deadline when it becomes harder to register vehicles as roadworthy, the German premium carmaker said on Friday."
"China's industrial profits shrink again in Dec. on weak prices, demand",Jan 28 2019,"Earnings at China's industrial firms shrank for a second straight month in December, putting pressure on policymakers to support industries hurt by slowing prices and weak factory activity amid a protracted U.S.-Sino trade war."
VW Trucks could pursue listing or issue debt: CEO,Apr 16 2018,"Volkswagen  said it could list its trucks business as part of expansion plans for the division, Andreas Renschler, head of the trucks business said on Monday."
"Exclusive: India's NTPC snubs foreign emissions tech, shuts out GE, others from $2 billion orders",Dec 19 2019,"Top Indian electricity generator NTPC has rejected the  emissions-cutting technology of GE and other foreign firms for its coal-fired plants, documents show, shutting them out of an estimated $2 billion in orders."
Passenger sues Southwest Airlines over fatal engine explosion,Apr 27 2018,"A lawsuit against Southwest Airlines Co has been filed by a passenger who was flying on last week's flight 1380, in which an engine exploded and one person was killed."
Explainer: Oil ETPs - the perils of trading crude like a stock,Apr 24 2020,A historic plunge in oil prices in the wake of the COVID-19 pandemic has highlighted the risks of oil-focused exchange-traded products (ETPs).
UK's Johnson tells Trump on Huawei that collaboration is needed to diversify market,Jan 28 2020,Prime Minister Boris Johnson told President Trump on Tuesday that countries should work together to break the dominance of a small number of companies after Britain granted Chinese firm Huawei [HWT.UL] a limited role in its 5G mobile network.
"U.S. lawmaker urges FAA, Boeing employees to disclose details on 737 MAX approval",Mar 22 2019,The chairman of U.S. House Transportation and Infrastructure Committee Peter DeFazio on Friday urged current or former Boeing Co and Federal Aviation Administration employees to come forward with any information about the government's aircraft certification program.
"JPMorgan awards research grants, deepening its AI push",Mar 25 2019,"JPMorgan Chase & Co has awarded 47 financial grants to university faculty and PhD students for artificial intelligence research, ramping up its efforts in the emerging technology, the bank plans to announce later on Monday."
Concern and hope as AMS and Osram slide following failed takeover,Oct 07 2019,Shares in sensors specialist AMS and lighting group Osram fell on Monday on concerns AMS might revisit its $4.9 billion takeover bid which collapsed on Friday.
Graphic: No Santa Rally? Trade fears threaten Wall Street's end of decade,Dec 04 2019,Wall Street's poor start to December has some investors bracing for a choppy end-of-year as fears about the U.S.-China trade war resurface.
U.S. Supreme Court sides with BP unit to curtail Superfund site cleanup lawsuits,Apr 20 2020,"The U.S. Supreme Court handed BP Plc unit Atlantic Richfield Co a victory on Monday, making it harder for Montana landowners to seek a more extensive cleanup of a hazardous waste site than the federal government had ordered."
Huawei leads Asian domination of U.N. patent applications in 2018,Mar 18 2019,"Chinese telecoms giant Huawei led the pack with Asia accounting for more than half of the international patent applications at the World Intellectual Property Organization (WIPO) last year, WIPO said on Tuesday."
Sunrise plan to buy Liberty Global's UPC gets anti-trust green light,Sep 26 2019,"The Swiss anti-trust authority has approved Sunrise Communications' 6.3 billion Swiss franc ($6.36 billion) takeover of Liberty Global's UPC business, setting up a showdown between the telecoms company and foes of the deal."
Brent logs worst weekly loss in a year as China virus fears swell,Jan 24 2020,"Crude prices sank more than 2% on Friday and Brent logged its biggest weekly decline in more than a year as concerns that a coronavirus will spread farther in China, the world's second-largest oil consumer, curbing travel and oil demand."
No end in sight yet for Amazon shutdown in France,Apr 16 2020,"Amazon  has no clarity yet on when its warehouses in France might reopen, the head of its French business said on Thursday, after the e-commerce giant clashed with unions over the measures taken to limit the risks of coronavirus contagion."
Heard on the grapevine: How Pacific trade pact primes New Zealand wine for Japan buzz,Dec 19 2018,"From sleepy New Zealand hillsides to sleek Tokyo dining scenes, a bottle of Hawke's Bay wine shipped to Japan traces an arc that exporters like Nigel Avery see as an avenue for multi-million dollar growth built on a free trade pact."
Lachlan Murdoch to replace brother James as Fox CEO after Disney deal,May 16 2018,Twenty First Century Fox's  Chief Executive Officer James Murdoch will leave the company and be succeeded by brother Lachlan once the company sells off its TV and film assets to Walt Disney Co .
"Ad giant WPP pulls dividend, buyback and outlook as clients cut spending",Mar 31 2020,The world's biggest advertising company WPP  has pulled its dividend and share buyback and withdrawn its 2020 guidance after the coronavirus pandemic sparked the most uncertain time in its 35-year history.
"WeWork, former CEO Adam Neumann accused of pregnancy discrimination",Oct 31 2019,"The former chief of staff to ousted WeWork CEO Adam Neumann has accused him and the company of discrimination, saying she feared for the health of her unborn baby because of Neumann's penchant for smoking marijuana on chartered planes."
"U.S. stimulus package is biggest ever, but may not be big enough",Mar 30 2020,"The Federal Reserve has offered more than $3 trillion in loans and asset purchases in recent weeks to stop the U.S. financial system from seizing up, but it has not yet directly helped large swaths of the real economy: companies, municipalities and other borrowers with less than perfect credit."
"Wirecard investor DWS says has sold down position, considering legal action",Jun 18 2020,"Asset manager DWS, the fund management arm of Deutsche Bank, said it has further sold down its position in embattled German technology company Wirecard and was considering legal action."
Wall Street looks to earnings after strongest June in decades,Jul 02 2019,"On the heels of the S&P 500's best June performance in more than six decades, investors are anxious to see whether earnings can justify further gains as the largest U.S. companies open their books in the coming weeks."
E-scooters put Swedish start-up on road to positive cashflow,Jul 08 2019,"Growing numbers of young people whizzing around Europe's big cities on electric scooters may represent a nightmare for some pedestrians and motorists, but for Swedish sharing start-up VOI they offer a path to positive cashflow."
Honda's China sales likely to catch U.S. sales in two-three years: CEO,Apr 12 2019,"Honda's sales in China are likely to catch up with its sales in the United States within two to three years and the firm would like them to eventually overtake U.S. sales, the company's chief executive said on Friday."
Japan's Nidec to expand electric-car motor production outside China: Nikkei,Dec 19 2018,"Nidec Corp  will add locations outside China to build motors for electric vehicles as the Japanese motor maker rethinks its supply strategy, the Nikkei business daily reported on Thursday."
BMW dented by upfront expenditure for new car launches,Nov 07 2018,"German carmaker BMW  will deepen cost cuts after higher development expenses contributed to a 27 percent drop in third-quarter operating profit, falling short of analyst expectations as currency effects also took a toll."
Exclusive: Fed's Williams says new economic outlook necessary for rate hikes,Feb 19 2019,New York Fed President John Williams on Tuesday said he was comfortable with the level U.S. interest rates are at now and that he sees no need to raise them again unless economic growth or inflation shifts to an unexpectedly higher gear.
Facebook's grim forecast: privacy push will erode profits for years,Jul 26 2018,Facebook Inc's shares lost as much as a quarter of their value on Wednesday after executives said that profit margins would plummet for several years due to the costs of improving privacy safeguards and slowing usage in the biggest advertising markets.
Trump asks SEC to mull half-year corporate filings,Aug 17 2018,U.S. President Donald Trump said on Friday he has asked the U.S. Securities and Exchange Commission to study the impact of allowing companies to file reports with the financial regulator every six months instead of every quarter.
"Senate passes defense bill, battle looms with Trump over China's ZTE",Jun 18 2018,"The U.S. Senate passed a $716 billion defense policy bill on Monday, backing President Donald Trump's call for a bigger, stronger military but setting up a potential battle with the White House over Chinese telecommunications firm ZTE Corp ."
Shell reviews deals involving ex-executive accused of bribery,Dec 06 2018,Royal Dutch Shell  has concluded that a Nigerian oilfield sale where it suspects an executive took bribes was not linked to a separate court case in which he and Shell face corruption charges over a $1.1 billion offshore acquisition.
PG&E to float $31 billion restructuring plan: Bloomberg,Jun 21 2019,"Power producer PG&E Corp will propose a $31 billion bankruptcy restructuring plan that will include two funds worth a total of $34 billion to cover past and future wildfire claims, Bloomberg reported https://twitter.com/scottdeveau/status/1142117995680030720 on Friday."
Exclusive: Logitech in talks to acquire headphone maker Plantronics - sources,Nov 23 2018,"Logitech International SA, a Swiss manufacturer of keyboards and webcams, is in discussions to acquire Plantronics Inc, a U.S. maker of Bluetooth earpieces and gaming headsets, people familiar with the matter said on Friday."
Dunkin' drops 'Donuts' from name in shift to coffee,Sep 25 2018,"Dunkin' Donuts said on Tuesday it plans to rebrand itself as ""Dunkin'"" as part of new CEO Dave Hoffman's plans to bring beverages and breakfast meals to the forefront of the restaurant chain's menu."
"Coronavirus impact is overwhelming, Spain's hotels association says",Mar 06 2020,"Hotel bookings have fallen by as much as 40% in some areas of Spain, the country's hotel federation said and flagged an overwhelming impact for the eurozone's fourth largest economy as anxiety about the coronavirus outbreak takes hold."
"Ahead of election year, more Americans lack health insurance, incomes stall",Sep 10 2019,"The share of Americans without health insurance rose for the first time in a decade last year and U.S. household income hardly budged, according to a government report on Tuesday that laid bare issues that could be central to the U.S. presidential election next year."
PG&E shares surge 40 percent on report regulator wants to avoid bankruptcy from wildfire,Nov 16 2018,PG&E Corp shares soared 40 percent in after-hours trade on Thursday following a report that a regulatory official told investors the agency does not want the utility to go into bankruptcy should it be found responsible for this month's deadly wildfire in northern California.
There are limits to boldly easing bank rules in coronavirus pandemic: BIS,Apr 15 2020,"Easing bank rules is among the ""bold and extraordinary"" steps needed to beat the coronavirus, but it must be temporary and limited to avoid undermining financial stability after the epidemic has passed, central bankers said on Wednesday."
Atlantia shares rise on hopes for truce with Italian government,Jan 28 2020,Atlantia  shares gained more than 6% on Tuesday as comments from a minister rekindled hopes that the infrastructure group could reach a compromise with the government over its lucrative motorway concession.
Volkswagen's emissions problems cost the carmaker 3.6 billion euros in 2018: source,Mar 08 2019,"Volkswagen's effort to get its fleet of cars certified according to the new WLTP emissions standard have cost the carmaker up to 3.6 billion euros ($4.04 billion) in 2018, a source familiar with the matter told Reuters."
Trump presses Lockheed to keep open a Pennsylvania plant slated for closure,Jun 14 2019,"U.S. President Donald Trump on Friday urged Lockheed Martin Corp to keep open its Sikorsky helicopter plant in Coatesville, Pennsylvania, a week after the weapons maker announced the planned closure of the facility."
Goldman Sachs sees S&P 500 dividends declining 25% in 2020,Mar 30 2020,Goldman Sachs said on Monday it expects S&P 500 dividends to fall by 25% in 2020 as certain large dividend-paying industries are particularly vulnerable to the economic shock of the coronavirus outbreak.
"U.S. Congress needs compromise to extend COVID-19 unemployment payments, Pelosi says",Jul 12 2020,Democratic House Speaker Nancy Pelosi said on Sunday she believes U.S. lawmakers can find a compromise on extending jobless benefits and unemployment insurance for Americans struggling amid coronavirus pandemic shutdowns.
Huawei Technologies loses trade secrets case against U.S. chip designer,Jun 26 2019,A U.S. jury on Wednesday cleared California semiconductor designer CNEX Labs Inc of stealing trade secrets from Chinese electronics giant Huawei Technologies Co Ltd while awarding CNEX no damages on its own trade theft claims.
Lawsuit claims Burger King's Impossible Whoppers are contaminated by meat,Nov 18 2019,"Burger King was sued on Monday by a vegan customer who accused the fast-food chain of contaminating its meatless ""Impossible"" Whoppers by cooking them on the same grills as its traditional meat burgers."
Harbour Energy says $10.8 billion offer for Santos is 'best and final',May 20 2018,"Harbour Energy said on Monday its latest takeover proposal of $10.8 billion for Australian gas producer Santos Ltd  was its ""best and final"" offer."
Storm clouds gather over U.S. stocks as hopes of quick recovery fade,May 14 2020,"A lightning-quick rally in U.S. equities is showing cracks, as investors face mounting evidence that the economy's coronavirus-fueled woes may be far longer-lasting than many had anticipated."
"Australia sues Facebook, alleges breach of user data",Mar 09 2020,"The Australian privacy regulator filed a lawsuit against Facebook Inc , accusing the social media giant of sharing the personal details of more than 300,000 people with political consultant Cambridge Analytica without their knowledge."
Goldman Sachs joins growing band of businesses snubbing Saudi conference,Oct 18 2018,Goldman Sachs Group Inc on Thursday joined the growing list of high-profile businesses snubbing a Saudi investment conference next week amid mounting pressure on Riyad over the disappearance of journalist Jamal Khashoggi.
Hong Kong records fourth coronavirus-related death - hospital spokeswoman,Mar 13 2020,"An 80-year old man became the fourth patient in Hong Kong to die due to the coronavirus, a Nethersole Eastern Hospital spokeswoman said on Friday."
U.S. deficit could quadruple to $3.7 trillion in coronavirus crisis: CBO,Apr 24 2020,"A nationwide business shutdown and surge in U.S. government spending will nearly quadruple the federal deficit to a record $3.7 trillion this fiscal year as the country combats the coronavirus pandemic, congressional forecasters said on Friday."
UAW workers head for picket lines in first national strike against GM since 2007,Sep 16 2019,"The United Auto Workers (UAW) went on strike at General Motors just after midnight Sunday and about 48,000 hourly workers at its facilities are headed for the picket lines in the morning, union officials said early Monday."
U.S. inflation much softer in first quarter; puts spotlight on Fed,May 30 2019,"U.S. inflation was much weaker than initially thought in the first quarter amid a sharp slowdown in domestic demand, which could cast doubts on the Federal Reserve's view that the benign price pressures were largely because of temporary factors."
"Malaysia Airlines says 737 MAX jet deliveries may be delayed, eyes turnaround",Jun 03 2019,"Malaysia Airlines is looking at its order for 25 Boeing Co 737 MAX jets ""very carefully"" in light of the global grounding and plans for the first delivery in July 2020 could be delayed, the carrier's chief executive said on Monday."
"Factories faltered in June, trade truce fails to brighten outlook",Jul 01 2019,"Factory activity shrank across much of Europe and Asia in June while growth in manufacturing cooled in the United States, keeping the world's policymakers under pressure to avert a recession amid a U.S.-China trade war."
L'Oreal's Lancome beefs up stores as luxury cosmetics take off,Dec 04 2019,"L'Oreal's  Lancome brand is planning to open a flagship store in China after launching its first major showcase in Paris this week, its chief executive said, as the company capitalizes on booming demand for high-end cosmetics."
BlackRock becomes Authentic Brands' largest shareholder with $875 million stake,Aug 11 2019,"BlackRock Inc's  new private equity fund Long Term Private Capital (LTPC) has completed its maiden investment, taking up an $875 million stake in Authentic Brands Group LLC, making it the largest investor in the U.S.-based entertainment company, the fund said on Sunday."
"As trade war drags on, new Bunge CEO looks to avoid 'stroke-of-the-pen' risk",Aug 20 2019,"A year removed from a losing bet that the U.S.-China trade war would be promptly resolved, global grains trader Bunge Ltd  is facing an even more uncertain business environment, with a new chief executive who is determined not to get burned again."
Global risk rally has a powerful ally: the weaker dollar,Jun 10 2020,"Investors are betting a weaker U.S. dollar will further boost a rally that has seen stocks, emerging market currencies and other risky assets soar in recent weeks."
China imposed tariffs on U.S. products to 'balance losses': state media,Apr 03 2018,"China imposed tariffs on 128 U.S. products ranging from wine to oranges in order to ""balance the losses"" caused by U.S. duties and to protect China's national interests, according to a commentary on the front page of the official People's Daily."
Minutes from Federal Reserve's June FOMC meeting,Jul 05 2018,"U.S. central bankers discussed whether recession lurked around the corner and expressed concerns global trade tensions could hit an economy that by most measures looked strong, minutes of the Federal Reserve's last policy meeting on June 12-13 released on Thursday showed."
"Exclusive: China Everbright Group to restructure, pursue billion-dollar HK IPO - sources",Oct 10 2019,"State-owned financial conglomerate China Everbright Group aims to restructure its sprawling business and pursue a billion dollar IPO next year in Hong Kong, three people with direct knowledge of the matter told Reuters on Thursday."
"Seeking to avert higher tariffs, China dispatches top negotiator to U.S.",May 07 2019,"Chinese Vice Premier Liu He will travel to Washington for two days of trade talks this week, China said on Tuesday, setting up a last-ditch bid for a deal that would avoid a sharp increase in tariffs on Chinese goods ordered by U.S. President Donald Trump."
"Renault-Nissan alliance, Google to partner on self-driving cars: Nikkei",Feb 05 2019,"The Renault-Nissan-Mitsubishi alliance will tie up with Alphabet Inc's Google to develop autonomous taxis and other services using self-driving vehicles, the Nikkei reported on Tuesday."
"U.S. consumer confidence rises; COVID-19, unemployment shadow lingers",Jun 12 2020,"U.S. consumer sentiment perked up in early June as households cheered the reopening of businesses and a surprise rebound in hiring, though they did not expect a significant improvement in the economy amid fears of a resurgence in COVID-19 infections."
China's central bank adviser says U.S. tariffs seen cutting GDP growth by 0.2 percent points: Xinhua,Jul 05 2018,"A China central bank adviser said the planned U.S. import tariffs on $50 billion worth of Chinese goods will cut China's growth by 0.2 percentage points but its overall impact will be limited, the official Xinhua news agency reported Friday."
German industry warns U.S. auto tariffs not completely off table yet,Jul 26 2018,"A top German industry group gave a cautious welcome to solutions proposed by U.S. President Donald Trump and European Commission President Jean-Claude Juncker to avert a trade war, but warned that U.S. auto tariffs were not completely off the table yet."
